Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
blaCARB-22	100.00	852/852	100.0	1..852	NZ_CP031782.1 Vibrio parahaemolyticus strain VPD14 chromosome 2, complete sequence	171813..172664	Ampicillin, Amoxicillin, Piperacillin	JYNG01000059
blaCTX-M-55	100.00	876/876	100.0	1..876	NZ_AP026554.1 Vibrio vulnificus strain VV20-8B-2 isolate homogenised shrimp plasmid pVV20-8B-2, complete sequence	289945..290820	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	DQ810789
qnrS2	100.00	657/657	100.0	1..657	NZ_AP026554.1 Vibrio vulnificus strain VV20-8B-2 isolate homogenised shrimp plasmid pVV20-8B-2, complete sequence	282979..283635	Ciprofloxacin	DQ485530
sul2	100.00	816/816	100.0	1..816	NZ_AP026552.1 Vibrio vulnificus strain VV20-8B-2 isolate homogenised shrimp chromosome 1, complete sequence	2594131..2594946	Sulfamethoxazole	AY034138
tet(59)	99.67	1203/1203	100.0	1..1203	NZ_AP026552.1 Vibrio vulnificus strain VV20-8B-2 isolate homogenised shrimp chromosome 1, complete sequence	2600184..2601386	Doxycycline, Tetracycline	KU736878
aph(6)-Id	100.00	837/837	100.0	1..837	NZ_CP134785.1 Vibrio vulnificus strain GCU-01 plasmid pVv_GCU-01-1, complete sequence	30327..31163	Streptomycin	M28829
aph(3'')-Ib	100.00	804/804	100.0	1..804	NZ_CP134785.1 Vibrio vulnificus strain GCU-01 plasmid pVv_GCU-01-1, complete sequence	31163..31966	Streptomycin	AF321551
FloR	99.84	1215/1215	100.0	1..1215	NZ_CP134785.1 Vibrio vulnificus strain GCU-01 plasmid pVv_GCU-01-1, complete sequence	25978..27192	Chloramphenicol,Florfenicol	CP136914
sul2	100.00	816/816	100.0	1..816	NZ_CP134785.1 Vibrio vulnificus strain GCU-01 plasmid pVv_GCU-01-1, complete sequence	32027..32842	Sulfamethoxazole	AY034138
tet(A)	100.00	1275/1275	100.0	1..1275	NZ_CP134785.1 Vibrio vulnificus strain GCU-01 plasmid pVv_GCU-01-1, complete sequence	27792..29066	Doxycycline, Tetracycline	AF534183
